city_id,city_name,city_state,state,latitude,longitude,population
TN0900100,Johnson City,"Johnson City,TN",TN,36.3167671,-82.352903,72020
NC0510000,Johnston,"Johnston,NC",NC,,,188715
AR0160100,Jonesboro,"Jonesboro,AR",AR,35.8348088,-90.7045297,83296
MO0490700,Joplin,"Joplin,MO",MO,37.0841838,-94.5133385,46093
MI3913900,Kalamazoo,"Kalamazoo,MI",MI,42.291707,-85.5872286,105442
MI3949900,Kalamazoo,"Kalamazoo,MI",MI,42.291707,-85.5872286,73244
NC0130200,Kannapolis,"Kannapolis,NC",NC,35.4979605,-80.6240008,50384
MOKPD0000,Kansas City,"Kansas City,MO",MO,39.100105,-94.5781416,317692
TX1290000,Kaufman,"Kaufman,TX",TX,,,117526
WI0300100,Kenosha,"Kenosha,WI",WI,42.5846773,-87.8212263,99483
MI4114100,Kent,"Kent,MI",MI,,,270333
MI4185000,Kentwood,"Kentwood,MI",MI,42.8694731,-85.6447492,54895
OH0570500,Kettering,"Kettering,OH",OH,39.6895036,-84.1688274,56102
TX0140400,Killeen,"Killeen,TX",TX,31.1171441,-97.727796,162382
TN0820200,Kingsport,"Kingsport,TN",TN,36.550238,-82.5594293,54621
TN0470000,Knox,"Knox,TN",TN,,,313481
TN0470100,Knoxville,"Knoxville,TN",TN,35.9603948,-83.9210261,200645
IN0340100,Kokomo,"Kokomo,IN",IN,40.4864444,-86.1336351,60224
TX1050700,Kyle,"Kyle,TX",TX,29.9892928,-97.8772103,71858
WI0320100,La Crosse,"La Crosse,WI",WI,43.8122836,-91.2514355,50663
CA0370800,La Mesa,"La Mesa,CA",CA,32.7678288,-117.0230839,60686
LA0280300,Lafayette,"Lafayette,LA",LA,30.2262187,-92.0178202,122489
CA030390X,Laguna Niguel,"Laguna Niguel,CA",CA,33.5225261,-117.7075526,63502
LA0100200,Lake Charles,"Lake Charles,LA",LA,30.2305095,-93.2169807,80280
AZ0080400,Lake Havasu City,"Lake Havasu City,AZ",AZ,34.4775296,-114.3379972,59462
MN0191100,Lakeville,"Lakeville,MN",MN,44.650051,-93.2432791,80095
CO0300400,Lakewood,"Lakewood,CO",CO,39.7085736,-105.0846694,157016
OH0182600,Lakewood,"Lakewood,OH",OH,41.4819932,-81.7981908,49178
PA0360500,Lancaster,"Lancaster,PA",PA,40.0379958,-76.3056707,58569
SC0290000,Lancaster,"Lancaster,SC",SC,,,106128
MI3351900,Lansing,"Lansing,MI",MI,42.7338254,-84.5546295,109672
TX2400100,Laredo,"Laredo,TX",TX,27.5079211,-99.5069834,262723
NV0020100,Las Vegas,"Las Vegas,NV",NV,36.1674263,-115.1484131,1712136
MA0051300,Lawrence,"Lawrence,MA",MA,42.7070354,-71.1631137,89201
UT0060300,Layton,"Layton,UT",UT,41.0751048,-111.9741925,84936
TX0840800,League City,"League City,TX",TX,29.5074538,-95.0949303,116779
