date,crime_type,trend_rate,global_rate,city_fitted_rate,seasonal_rate_delta,time_effect_logit,time_effect_rate_delta,global_time_rate,count,population,observed_rate,observed_minus_global_rate,global_residual_rate,remainder_rate
2018-05-01,robbery,52.0142290957938,51.53514842574397,145.18103215064448,-0.47908067004983257,-0.0364689543166857,-1.8454989064507592,49.689649519293205,14209,120058219,142.0210972811449,90.48594885540093,-1.8454989064507592,-1.8454989064507592
2018-06-01,robbery,51.5860074148862,52.65681838290986,149.30402825783148,1.0708109680236633,-0.056408975285721925,-2.8879743904220225,49.76884399248784,14205,120058219,141.98111667806765,89.32429829515779,-2.8879743904220225,-2.8879743904220225
2018-07-01,robbery,51.176167761959356,53.43490979741065,151.79731391451853,2.2587420354512964,-0.008567664868357772,-0.4558366710521642,52.979073126358486,15113,120058219,151.0567135766024,97.62180377919174,-0.4558366710521642,-0.4558366710521642
2018-08-01,robbery,50.75740259338578,54.02696809053403,153.3372025404993,3.2695654971482497,-0.0019186198532143463,-0.10355318426492996,53.923414906269095,15270,120058219,152.62595224738425,98.59898415685022,-0.10355318426492996,-0.10355318426492996
2018-09-01,robbery,50.34346461608192,53.23443029839176,151.11384548127216,2.8909656823098437,-0.060170067057310005,-3.108527491888573,50.125902806503184,14148,120058219,141.4113930842169,88.17696278582515,-3.108527491888573,-3.108527491888573
2018-10-01,robbery,49.94748724004507,52.097303805763715,147.79171960262545,2.1498165657186514,-0.0028329711114381813,-0.14737491424724392,51.94992889151648,14705,120058219,146.97869206272333,94.88138825695961,-0.14737491424724392,-0.14737491424724392
2018-11-01,robbery,49.54308253277387,52.24055069893288,147.53253833761264,2.6974681661590076,-0.030472046996059026,-1.567800930857871,50.67274976807501,14328,120058219,143.21052022269296,90.96996952376008,-1.567800930857871,-1.567800930857871
2018-12-01,robbery,49.15643170517765,51.8100922641174,145.59414053685094,2.653660558939744,0.026565547764428113,1.394746534180542,53.20483879829794,14862,120058219,148.5479307335052,96.73783846938781,1.394746534180542,1.394746534180542
2019-01-01,robbery,48.76219722591666,48.0924104655027,135.0127846920703,-0.669786760413958,5.603914575142341e-4,0.026957047836415365,48.11936751333912,13495,119911775,135.0492893629504,86.9568788974477,0.026957047836415365,0.026957047836415365
2019-02-01,robbery,48.37387588272101,43.500411996953744,122.03102681258409,-4.873463885767267,-0.09162374700310504,-3.8084048535937147,39.69200714336002,11053,120058219,110.47640145319829,66.97598945624455,-3.8084048535937147,-3.8084048535937147
2019-03-01,robbery,48.02864059534273,42.21762309461029,118.25730749727543,-5.811017500732438,-0.0027610749527368222,-0.11640116193197143,42.10122193267832,11868,120058219,118.62244933018705,76.40482623557676,-0.11640116193197143,-0.11640116193197143
2019-04-01,robbery,47.65296652364949,44.36470294104973,124.13263390203247,-3.288263582599762,0.007759418299232557,0.3455704407378428,44.71027338178757,12520,120058219,125.13928763177805,80.77458469072832,0.3455704407378428,0.3455704407378428
2019-05-01,robbery,47.29640017597214,46.86077169991774,131.79148245670427,-0.43562847605439586,0.04466433642031441,2.140362944876294,49.00113464479404,13927,119845361,139.44970302188,92.58893132196226,2.140362944876294,2.140362944876294
2019-06-01,robbery,46.935620359041096,47.90990347208236,135.20380953526887,0.9742831130412678,-0.005777402663436759,-0.2759858083389166,47.633917663743446,13719,120058219,137.12347340418236,89.2135699321,-0.2759858083389166,-0.2759858083389166
2019-07-01,robbery,46.59432034369075,48.65084341244727,137.31733122849218,2.056523068756533,0.08146847094500287,4.12925388710149,52.78009729954877,15082,120058219,150.74686390275372,102.09602049030644,4.12925388710149,4.12925388710149
2019-08-01,robbery,46.250169351185974,49.229410896513365,138.58217025976282,2.9792415453273864,0.06627740894756466,3.3732036740058717,52.602614570519236,15092,120058219,150.84681541044685,101.61740451393348,3.3732036740058717,3.3732036740058717
2019-09-01,robbery,45.91510065002206,48.55177850462776,136.64858234275738,2.636677854605705,0.02797166951909855,1.3771891434469847,49.928967648074746,14282,119958600,142.86928990501724,94.31751140038948,1.3771891434469847,1.3771891434469847
2019-10-01,robbery,45.599874010882914,47.56257004288433,133.5804412068744,1.9626960320014284,0.07943239856583381,3.9319415038706995,51.494511546755035,14682,120058219,146.7488035950292,99.18623355214486,3.9319415038706995,3.9319415038706995
2019-11-01,robbery,45.28386250279442,47.74943849204691,133.4300853011225,2.465575989252491,8.38191179271727e-4,0.04003834180271281,47.789476833849626,13525,120058219,135.18441415493595,87.43497566288903,0.04003834180271281,0.04003834180271281
2019-12-01,robbery,44.98781650097762,47.41644745042382,131.8328762381873,2.428630949446203,0.06505284350384766,3.1869819503198364,50.60342940074365,14184,120058219,141.77121851191214,94.35477106148832,3.1869819503198364,3.1869819503198364
2020-01-01,robbery,44.6923699325044,44.078483366518704,122.38209326047685,-0.613886565985699,0.13927874907815524,6.587007106273181,50.66549047279188,14393,120058219,143.86020502269818,99.78172165617949,6.587007106273181,6.587007106273181
2020-02-01,robbery,44.40793146600516,39.93400644929166,110.96133562894411,-4.473925016713505,0.07650190361073841,3.174808988223903,43.10881543751556,12301,120058219,122.95034961329887,83.01634316400721,3.174808988223903,3.174808988223903
2020-03-01,robbery,44.1521342342358,38.81012267355481,107.74394547340837,-5.342011560680989,0.09370430577642073,3.8123752840895215,42.622497957644335,11858,120058219,118.52249782249393,79.71237514893912,3.8123752840895215,3.8123752840895215
2020-04-01,robbery,43.89003789403259,40.86142404008969,113.45433492940299,-3.028613853942901,-0.11362500215134844,-4.388685373719746,36.47273866636994,9894,120058219,98.89202171156646,58.03059767147677,-4.388685373719746,-4.388685373719746
2020-05-01,robbery,43.647884474459325,43.24585982549736,120.75868160200748,-0.4020246489619682,-0.0944251192501166,-3.896502984117219,39.34935684138014,10808,120058219,108.02758951471702,64.78172968921966,-3.896502984117219,-3.896502984117219
2020-06-01,robbery,43.409875185768904,44.310974070945,124.61583929803145,0.9010988851760888,-0.03788891709027386,-1.647428415248834,42.66354565569617,11888,120058219,118.8223523455733,74.5113782746283,-1.647428415248834,-1.647428415248834
2020-07-01,robbery,43.19169392272534,45.09804167641561,127.05569880102512,1.9063477536902647,-0.02892417727575821,-1.2856926918574338,43.81234898455817,12431,120058219,124.24971921330933,79.15167753689371,-1.2856926918574338,-1.2856926918574338
2020-08-01,robbery,42.97913801110654,45.747681496941766,128.75509785233876,2.768543485835221,-0.018502770854324526,-0.8386446391446929,44.90903685779707,12846,120058219,128.39770678257355,82.65002528563178,-0.8386446391446929,-0.8386446391446929
2020-09-01,robbery,42.780040874360544,45.236694489803114,127.47523284266447,2.456653615442566,-0.05194218107878401,-2.2896295466489445,42.94706494315417,12259,120058219,122.53055328098779,77.29385879118468,-2.2896295466489445,-2.2896295466489445
2020-10-01,robbery,42.600515455502666,44.434118781119615,125.31891002181258,1.8336033256169502,0.05502931203699918,2.5136101606424757,46.947728941762094,13361,120058219,133.54520942876889,89.11109064764926,2.5136101606424757,2.5136101606424757
2020-11-01,robbery,42.4287290797399,44.73885706690265,125.75751278512976,2.310127987162754,0.023501186557697725,1.0638277392526336,45.802684806155284,12767,120058219,127.60808987179794,82.86923280489529,1.0638277392526336,1.0638277392526336
2020-12-01,robbery,42.275108756918094,44.55730180691744,124.82401205341031,2.282193049999345,0.050728066117515215,2.318527490576813,46.87582929749425,12964,120058219,129.57713457335228,85.01983276643485,2.318527490576813,2.318527490576813
2021-01-01,robbery,42.12854689596912,41.54987533478261,116.52510077798308,-0.5786715611865096,0.020576458840097962,0.8637753244230938,42.41365065920571,12035,120058219,120.29163950866206,78.74176417387945,0.8637753244230938,0.8637753244230938
2021-02-01,robbery,41.99350467491196,37.76281603794789,106.27511922450856,-4.230688636964067,-0.053918956652342545,-1.9821529251950247,35.78066311275286,9934,120058219,99.29182774233891,61.52901170439102,-1.9821529251950247,-1.9821529251950247
2021-03-01,robbery,41.880725685153216,36.813525720383154,103.71445917273404,-5.0671999647700625,-0.0507807222910305,-1.8226924347781257,34.99083328560503,9868,120058219,98.63214779156435,61.818622071181196,-1.8226924347781257,-1.8226924347781257
2021-04-01,robbery,41.76527617445766,38.883275870357046,109.79687535742681,-2.882000304100618,-0.13592528422414057,-4.941619351625848,33.94165651873119,9450,120058219,94.45417476999222,55.570898899635175,-4.941619351625848,-4.941619351625848
2021-05-01,robbery,41.66222390071004,41.27848781358219,117.56594138431824,-0.3837360871278495,-0.02778971284477883,-1.1312870698307809,40.147200743751405,11416,120058219,114.10464118245832,72.82615336887613,-1.1312870698307809,-1.1312870698307809
2021-06-01,robbery,41.563915900510835,42.42669785815386,122.1153591917025,0.862781957643025,-0.08482853943964953,-3.4504603181551454,38.976237539998714,11191,120058219,111.85573225936326,69.4290344012094,-3.4504603181551454,-3.4504603181551454
2021-07-01,robbery,41.47595652688575,43.306579672667205,125.22453898075213,1.8306231457814557,-0.02134229659074972,-0.9144364201248226,42.39214325254238,12233,120058219,122.2706793609857,78.9640996883185,-0.9144364201248226,-0.9144364201248226
2021-08-01,robbery,41.391721090934396,44.05801330755155,127.61335136025247,2.6662922166171548,-0.05566169365309548,-2.38525889440241,41.67275441314914,12149,120058219,121.43108669636354,77.37307338881199,-2.38525889440241,-2.38525889440241
2021-09-01,robbery,41.31348682774686,43.68592630822659,127.08651854345855,2.372439480479715,-0.03947398241943638,-1.6908061668013952,41.99512014142519,12312,120058219,123.06029627176129,79.37436996353469,-1.6908061668013952,-1.6908061668013952
2021-10-01,robbery,41.242770635919044,43.0179362609565,125.57539696137876,1.775165625037453,0.05675606849634822,2.5120490223056677,45.529985283262164,13515,120058219,135.08446264724284,92.06652638628634,2.5120490223056677,2.5120490223056677
2021-11-01,robbery,41.17412170675941,43.41594223329605,126.48775460815075,2.2418205265366433,-0.0064001316352098984,-0.2769704870335616,43.13897174626249,12809,120058219,128.02788620410902,84.61194397081297,-0.2769704870335616,-0.2769704870335616
2021-12-01,robbery,41.11127007232448,43.33063634971217,125.93427323293359,2.2193662773876954,0.022253597252685584,0.9750357162032202,44.305672065915395,13386,120058219,133.79508819800165,90.46445184828949,0.9750357162032202,0.9750357162032202
2022-01-01,robbery,41.04930098770527,40.48545329037435,118.02593439913673,-0.5638476973309241,0.0661608727727532,2.769047683779481,43.254500974153835,12622,120058219,126.1587930102478,85.67333971987345,2.769047683779481,2.769047683779481
2022-02-01,robbery,40.989626883493465,36.860072075118595,108.06554404583567,-4.129554808374864,0.03704448144665103,1.3910245514762662,38.251096626594865,11318,120058219,113.1251164070658,76.26504433194721,1.3910245514762662,1.3910245514762662
2022-03-01,robbery,40.9370890505672,35.984057406760144,105.69476556175445,-4.95303164380707,0.08953536098136762,3.37037239112203,39.35442979788217,11617,120058219,116.11366648708989,80.12960908032974,3.37037239112203,3.37037239112203
2022-04-01,robbery,40.879756596265565,38.05885936591227,112.14631257851484,-2.8208972303532986,0.03973697396058301,1.5427429653417783,39.60160233125405,11642,119944980,116.47340305530086,78.4145436893886,1.5427429653417783,1.5427429653417783
2022-05-01,robbery,40.82444645780436,40.448426583855586,120.25870818071239,-0.37601987394878705,0.04363715018497148,1.8040678404072539,42.25249442426283,12745,120058219,127.3881965548731,86.93976997101751,1.8040678404072539,1.8040678404072539
2022-06-01,robbery,40.76676799300426,41.61300336290463,125.21906635275454,0.8462353699003613,0.00975978961195223,0.4081082218220232,42.02111158472665,12876,120058219,128.69756130565287,87.08455794274823,0.4081082218220232,0.4081082218220232
2022-07-01,robbery,40.70977293697544,42.50658025675885,128.61225368439457,1.7968073197834067,0.04494376918636824,1.9539144010890972,44.46049465784794,13688,120058219,136.8136237303337,94.30704347357484,1.9539144010890972,1.9539144010890972
2022-08-01,robbery,40.6489663200047,43.26741491465531,131.1598682267459,2.618448594650611,-0.01440751612926035,-0.6188848212152848,42.64853009344003,13043,120058219,130.3667514841279,87.09933656947257,-0.6188848212152848,-0.6188848212152848
2022-09-01,robbery,40.58543163595813,42.916063822051655,130.65413202117912,2.3306321860935237,-0.033724768808828326,-1.4231516711792513,41.4929121508724,12559,120058219,125.52909851178119,82.61303468972953,-1.4231516711792513,-1.4231516711792513
